workerid,proliferate.condition,condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5205,Experiment Group,,,,practice_good,practice_good,0.95,,,0,0,
5205,Experiment Group,,,,practice_bad,practice_bad,0.13,,,0,0,
5205,Experiment Group,filler_bad,,9002,,,0.16,The money was stolen the money.,9002,1,,
5205,Experiment Group,null,,2,,,0.83,Mary recognizes the employees who we think completed the report very early.,1022,2,,
5205,Experiment Group,that,,9,,,0.53,Ben respects the professors who we assume that established the system long ago.,1091,3,,
5205,Experiment Group,filler_good,,8008,,,0.99,Joey attempted to escape through a window. ,8008,4,,
5205,Experiment Group,filler_good,,8012,,,0.93,It seems to Mike that Martha helped the student generously. ,8012,5,,
5205,Experiment Group,null,,6,,,0.87,Emily meets the colleagues who you suppose finalized the plan right away.,1062,6,,
5205,Experiment Group,filler_bad,,9012,,,0.45,"Tried to bury, Kimberly did the treasure chest.",9012,7,,
5205,Experiment Group,that,,10,,,0.45,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,8,,
5205,Experiment Group,that,,7,,,0.46,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,9,,
5205,Experiment Group,null,,8,,,0.92,Charles notices the experts who you think updated the software last month.,1082,10,,
5205,Experiment Group,filler_good,,8003,,,1,Lisa likes taking vacations.,8003,11,,
5205,Experiment Group,filler_bad,,9008,,,0.15,Who is that the jail must release accepted by few citizens?,9008,12,,
5205,Experiment Group,filler_bad,,9003,,,0.23,The hedges were trimmed the hedges.,9003,13,,
5205,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,14,,
5205,Experiment Group,that,,4,,,0.52,Kate calls the workers who you say that filed the complaint this week.,1041,15,,
5205,Experiment Group,null,,3,,,0.96,Sophia identifies the researchers who we assume published the article last year.,1032,16,,
5205,Experiment Group,that,,1,,,0.4,Julia knows the students who you believe that submitted the assignment on time.,1011,17,,
5205,Experiment Group,null,,11,,,0.61,Paul visits the technicians who we claim processed the application earlier today.,1112,18,,
5205,Experiment Group,filler_good,,8002,,,1,Barry likes drinking milkshakes. ,8002,19,,
5205,Experiment Group,filler_bad,,9004,,,0.28,The student was punished the student.,9004,20,,
5205,Experiment Group,filler_good,,8011,,,1,It seems to Nathan that Keith finished the work efficiently.,8011,21,,
5205,Experiment Group,null,,5,,,0.93,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,22,,
5205,Experiment Group,filler_bad,,9010,,,0.39,"Want to eat, James did the pie.",9010,23,,
5205,Experiment Group,that,,12,,,0.34,Derek supports the directors who you suppose that approved the proposal that evening.,1121,24,,
5206,Experiment Group,,,,practice_good,practice_good,0.87,,,0,0,
5206,Experiment Group,,,,practice_bad,practice_bad,0.02,,,0,0,
5206,Experiment Group,that,,6,,,0.01,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,1,,
5206,Experiment Group,null,,3,,,0.88,Sophia identifies the researchers who we assume published the article last year.,1032,2,,
5206,Experiment Group,filler_bad,,9010,,,0.06,"Want to eat, James did the pie.",9010,3,,
5206,Experiment Group,filler_good,,8011,,,0.99,It seems to Nathan that Keith finished the work efficiently.,8011,4,,
5206,Experiment Group,that,,2,,,0.22,Mary recognizes the employees who we think that completed the report very early.,1021,5,,
5206,Experiment Group,filler_bad,,9007,,,0,Who was that Martian kidnapped believed by no one?,9007,6,,
5206,Experiment Group,filler_good,,8003,,,1,Lisa likes taking vacations.,8003,7,,
5206,Experiment Group,null,,7,,,0.9,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,8,,
5206,Experiment Group,filler_good,,8004,,,1,Ali hates missing work. ,8004,9,,
5206,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,10,,
5206,Experiment Group,that,,8,,,0.09,Charles notices the experts who you think that updated the software last month.,1081,11,,
5206,Experiment Group,null,,1,,,0.16,Julia knows the students who you believe submitted the assignment on time.,1012,12,,
5206,Experiment Group,filler_bad,,9002,,,0,The money was stolen the money.,9002,13,,
5206,Experiment Group,filler_good,,8009,,,1,It seems to Carla that Robert studied for the test effectively.,8009,14,,
5206,Experiment Group,that,,11,,,0.14,Paul visits the technicians who we claim that processed the application earlier today.,1111,15,,
5206,Experiment Group,null,,5,,,0.28,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,16,,
5206,Experiment Group,that,,4,,,0.15,Kate calls the workers who you say that filed the complaint this week.,1041,17,,
5206,Experiment Group,filler_bad,,9011,,,0.02,"Refuse to write, Maria did the article.",9011,18,,
5206,Experiment Group,null,,9,,,0.86,Ben respects the professors who we assume established the system long ago.,1092,19,,
5206,Experiment Group,filler_good,,8006,,,1,Tommy attempted to take a picture.,8006,20,,
5206,Experiment Group,filler_bad,,9003,,,0,The hedges were trimmed the hedges.,9003,21,,
5206,Experiment Group,that,,12,,,0,Derek supports the directors who you suppose that approved the proposal that evening.,1121,22,,
5206,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,23,,
5206,Experiment Group,null,,10,,,0.92,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,24,,
5202,Experiment Group,,,,practice_good,practice_good,1,,,0,0,
5202,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5202,Experiment Group,filler_bad,,9001,,,0,John was kissed John.,9001,1,,
5202,Experiment Group,that,,8,,,0.68,Charles notices the experts who you think that updated the software last month.,1081,2,,
5202,Experiment Group,filler_good,,8004,,,1,Ali hates missing work. ,8004,3,,
5202,Experiment Group,null,,5,,,0,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,4,,
5202,Experiment Group,that,,9,,,0,Ben respects the professors who we assume that established the system long ago.,1091,5,,
5202,Experiment Group,filler_good,,8012,,,0.62,It seems to Mike that Martha helped the student generously. ,8012,6,,
5202,Experiment Group,null,,3,,,0.76,Sophia identifies the researchers who we assume published the article last year.,1032,7,,
5202,Experiment Group,filler_bad,,9006,,,0,What was that the movers would break feared by the family?,9006,8,,
5202,Experiment Group,filler_good,,8002,,,1,Barry likes drinking milkshakes. ,8002,9,,
5202,Experiment Group,null,,2,,,0.65,Mary recognizes the employees who we think completed the report very early.,1022,10,,
5202,Experiment Group,that,,4,,,0.19,Kate calls the workers who you say that filed the complaint this week.,1041,11,,
5202,Experiment Group,filler_bad,,9005,,,0,Who was that the principal would fire expected by the reporters?,9005,12,,
5202,Experiment Group,filler_bad,,9002,,,0,The money was stolen the money.,9002,13,,
5202,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,14,,
5202,Experiment Group,null,,1,,,0.73,Julia knows the students who you believe submitted the assignment on time.,1012,15,,
5202,Experiment Group,that,,6,,,0.17,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,16,,
5202,Experiment Group,that,,7,,,0,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,17,,
5202,Experiment Group,filler_bad,,9012,,,0,"Tried to bury, Kimberly did the treasure chest.",9012,18,,
5202,Experiment Group,filler_good,,8001,,,1,Joshua hates eating sushi. ,8001,19,,
5202,Experiment Group,null,,11,,,0.57,Paul visits the technicians who we claim processed the application earlier today.,1112,20,,
5202,Experiment Group,filler_good,,8008,,,1,Joey attempted to escape through a window. ,8008,21,,
5202,Experiment Group,null,,10,,,0.72,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,22,,
5202,Experiment Group,that,,12,,,0.07,Derek supports the directors who you suppose that approved the proposal that evening.,1121,23,,
5202,Experiment Group,filler_bad,,9007,,,0,Who was that Martian kidnapped believed by no one?,9007,24,,
5201,Experiment Group,,,,practice_good,practice_good,0.82,,,0,0,
5201,Experiment Group,,,,practice_bad,practice_bad,0.01,,,0,0,
5201,Experiment Group,that,,1,,,0.42,Julia knows the students who you believe that submitted the assignment on time.,1011,1,,
5201,Experiment Group,filler_good,,8001,,,1,Joshua hates eating sushi. ,8001,2,,
5201,Experiment Group,null,,3,,,0.9,Sophia identifies the researchers who we assume published the article last year.,1032,3,,
5201,Experiment Group,filler_bad,,9001,,,0,John was kissed John.,9001,4,,
5201,Experiment Group,filler_good,,8012,,,0.98,It seems to Mike that Martha helped the student generously. ,8012,5,,
5201,Experiment Group,filler_bad,,9012,,,0.01,"Tried to bury, Kimberly did the treasure chest.",9012,6,,
5201,Experiment Group,null,,10,,,0.95,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,7,,
5201,Experiment Group,that,,12,,,0.79,Derek supports the directors who you suppose that approved the proposal that evening.,1121,8,,
5201,Experiment Group,null,,11,,,0.94,Paul visits the technicians who we claim processed the application earlier today.,1112,9,,
5201,Experiment Group,that,,4,,,0.91,Kate calls the workers who you say that filed the complaint this week.,1041,10,,
5201,Experiment Group,filler_good,,8002,,,1,Barry likes drinking milkshakes. ,8002,11,,
5201,Experiment Group,filler_bad,,9010,,,0,"Want to eat, James did the pie.",9010,12,,
5201,Experiment Group,filler_good,,8004,,,1,Ali hates missing work. ,8004,13,,
5201,Experiment Group,filler_bad,,9005,,,0.08,Who was that the principal would fire expected by the reporters?,9005,14,,
5201,Experiment Group,null,,6,,,0.77,Emily meets the colleagues who you suppose finalized the plan right away.,1062,15,,
5201,Experiment Group,that,,5,,,0.41,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,16,,
5201,Experiment Group,filler_bad,,9009,,,0,"Promise to wash, Neal did the car.",9009,17,,
5201,Experiment Group,filler_good,,8009,,,0.94,It seems to Carla that Robert studied for the test effectively.,8009,18,,
5201,Experiment Group,that,,2,,,0.8,Mary recognizes the employees who we think that completed the report very early.,1021,19,,
5201,Experiment Group,null,,9,,,0.81,Ben respects the professors who we assume established the system long ago.,1092,20,,
5201,Experiment Group,that,,8,,,0.15,Charles notices the experts who you think that updated the software last month.,1081,21,,
5201,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,22,,
5201,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,23,,
5201,Experiment Group,null,,7,,,0.84,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,24,,
