workerid,proliferate.condition,condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5242,Experiment Group,filler_bad,,9003,,,0.09,The hedges were trimmed the hedges.,9003,17,,
5242,Experiment Group,filler_good,,8004,,,0.97,Ali hates missing work. ,8004,18,,
5242,Experiment Group,that,,5,,,0.33,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,19,,
5242,Experiment Group,null,,9,,,0.93,Ben respects the professors who we assume established the system long ago.,1092,20,,
5242,Experiment Group,null,,11,,,0.83,Paul visits the technicians who we claim processed the application earlier today.,1112,21,,
5242,Experiment Group,filler_good,,8010,,,0.84,It seems to Dave that Gregory left deliberately. ,8010,22,,
5242,Experiment Group,that,,4,,,0.05,Kate calls the workers who you say that filed the complaint this week.,1041,23,,
5242,Experiment Group,filler_bad,,9007,,,0.02,Who was that Martian kidnapped believed by no one?,9007,24,,
5223,Experiment Group,,,,practice_good,practice_good,0.99,,,0,0,
5223,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5223,Experiment Group,filler_good,,8007,,,1,Valerie attempted to cancel her magazine subscription.,8007,1,,
5223,Experiment Group,null,,1,,,0.81,Julia knows the students who you believe submitted the assignment on time.,1012,2,,
5223,Experiment Group,filler_bad,,9007,,,0,Who was that Martian kidnapped believed by no one?,9007,3,,
5223,Experiment Group,that,,12,,,0.06,Derek supports the directors who you suppose that approved the proposal that evening.,1121,4,,
5223,Experiment Group,filler_bad,,9012,,,0,"Tried to bury, Kimberly did the treasure chest.",9012,5,,
5223,Experiment Group,filler_good,,8002,,,0.99,Barry likes drinking milkshakes. ,8002,6,,
5223,Experiment Group,that,,7,,,0.03,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,7,,
5223,Experiment Group,null,,11,,,0.99,Paul visits the technicians who we claim processed the application earlier today.,1112,8,,
5223,Experiment Group,null,,10,,,0.98,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,9,,
5223,Experiment Group,that,,6,,,0.01,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,10,,
5223,Experiment Group,filler_good,,8010,,,1,It seems to Dave that Gregory left deliberately. ,8010,11,,
5223,Experiment Group,filler_bad,,9006,,,0,What was that the movers would break feared by the family?,9006,12,,
5223,Experiment Group,filler_bad,,9001,,,0.01,John was kissed John.,9001,13,,
5223,Experiment Group,null,,3,,,0.95,Sophia identifies the researchers who we assume published the article last year.,1032,14,,
5223,Experiment Group,filler_good,,8005,,,0.99,Vivian attempted to write short stories.,8005,15,,
5223,Experiment Group,that,,4,,,0.01,Kate calls the workers who you say that filed the complaint this week.,1041,16,,
5223,Experiment Group,null,,5,,,0.95,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,17,,
5223,Experiment Group,filler_bad,,9008,,,0.01,Who is that the jail must release accepted by few citizens?,9008,18,,
5223,Experiment Group,filler_good,,8011,,,0.96,It seems to Nathan that Keith finished the work efficiently.,8011,19,,
5223,Experiment Group,that,,2,,,0.02,Mary recognizes the employees who we think that completed the report very early.,1021,20,,
5223,Experiment Group,filler_good,,8009,,,0.99,It seems to Carla that Robert studied for the test effectively.,8009,21,,
5223,Experiment Group,filler_bad,,9003,,,0,The hedges were trimmed the hedges.,9003,22,,
5223,Experiment Group,that,,9,,,0.06,Ben respects the professors who we assume that established the system long ago.,1091,23,,
5223,Experiment Group,null,,8,,,0.88,Charles notices the experts who you think updated the software last month.,1082,24,,
5320,Experiment Group,,,,practice_good,practice_good,0.99,,,0,0,
5320,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5320,Experiment Group,that,,2,,,0,Mary recognizes the employees who we think that completed the report very early.,1021,1,,
5320,Experiment Group,filler_good,,8009,,,0.77,It seems to Carla that Robert studied for the test effectively.,8009,2,,
5320,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,3,,
5320,Experiment Group,null,,9,,,1,Ben respects the professors who we assume established the system long ago.,1092,4,,
5320,Experiment Group,that,,4,,,0,Kate calls the workers who you say that filed the complaint this week.,1041,5,,
5320,Experiment Group,null,,5,,,0.94,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,6,,
5320,Experiment Group,filler_bad,,9006,,,0,What was that the movers would break feared by the family?,9006,7,,
5320,Experiment Group,filler_good,,8003,,,1,Lisa likes taking vacations.,8003,8,,
5320,Experiment Group,null,,1,,,0.92,Julia knows the students who you believe submitted the assignment on time.,1012,9,,
5320,Experiment Group,filler_bad,,9003,,,0,The hedges were trimmed the hedges.,9003,10,,
5320,Experiment Group,that,,11,,,0.08,Paul visits the technicians who we claim that processed the application earlier today.,1111,11,,
5320,Experiment Group,filler_good,,8010,,,1,It seems to Dave that Gregory left deliberately. ,8010,12,,
5320,Experiment Group,filler_bad,,9009,,,0.61,"Promise to wash, Neal did the car.",9009,13,,
5320,Experiment Group,null,,7,,,1,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,14,,
5320,Experiment Group,that,,8,,,0.02,Charles notices the experts who you think that updated the software last month.,1081,15,,
5320,Experiment Group,filler_good,,8012,,,0.9,It seems to Mike that Martha helped the student generously. ,8012,16,,
5320,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,17,,
5320,Experiment Group,filler_bad,,9001,,,0.04,John was kissed John.,9001,18,,
5320,Experiment Group,null,,10,,,0.95,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,19,,
5320,Experiment Group,that,,6,,,0.05,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,20,,
5320,Experiment Group,filler_good,,8006,,,1,Tommy attempted to take a picture.,8006,21,,
5320,Experiment Group,null,,12,,,0.78,Derek supports the directors who you suppose approved the proposal that evening.,1122,22,,
5320,Experiment Group,filler_bad,,9002,,,0.05,The money was stolen the money.,9002,23,,
5320,Experiment Group,that,,3,,,0.07,Sophia identifies the researchers who we assume that published the article last year.,1031,24,,
5302,Experiment Group,,,,practice_good,practice_good,0.88,,,0,0,
5302,Experiment Group,,,,practice_bad,practice_bad,0.03,,,0,0,
5302,Experiment Group,that,,2,,,0.3,Mary recognizes the employees who we think that completed the report very early.,1021,1,,
5302,Experiment Group,filler_bad,,9009,,,0.12,"Promise to wash, Neal did the car.",9009,2,,
5302,Experiment Group,null,,1,,,0.75,Julia knows the students who you believe submitted the assignment on time.,1012,3,,
5302,Experiment Group,filler_good,,8012,,,0.98,It seems to Mike that Martha helped the student generously. ,8012,4,,
5302,Experiment Group,filler_good,,8007,,,0.97,Valerie attempted to cancel her magazine subscription.,8007,5,,
5302,Experiment Group,filler_bad,,9007,,,0.29,Who was that Martian kidnapped believed by no one?,9007,6,,
5302,Experiment Group,null,,6,,,0.31,Emily meets the colleagues who you suppose finalized the plan right away.,1062,7,,
5302,Experiment Group,that,,11,,,0.32,Paul visits the technicians who we claim that processed the application earlier today.,1111,8,,
5302,Experiment Group,null,,9,,,0.53,Ben respects the professors who we assume established the system long ago.,1092,9,,
5302,Experiment Group,filler_good,,8003,,,0.76,Lisa likes taking vacations.,8003,10,,
5302,Experiment Group,filler_bad,,9004,,,0.09,The student was punished the student.,9004,11,,
5302,Experiment Group,that,,3,,,0.72,Sophia identifies the researchers who we assume that published the article last year.,1031,12,,
5302,Experiment Group,filler_bad,,9005,,,0.17,Who was that the principal would fire expected by the reporters?,9005,13,,
5302,Experiment Group,null,,4,,,0.59,Kate calls the workers who you say filed the complaint this week.,1042,14,,
5302,Experiment Group,filler_good,,8009,,,0.97,It seems to Carla that Robert studied for the test effectively.,8009,15,,
5302,Experiment Group,that,,12,,,0.27,Derek supports the directors who you suppose that approved the proposal that evening.,1121,16,,
5302,Experiment Group,filler_bad,,9006,,,0.25,What was that the movers would break feared by the family?,9006,17,,
5302,Experiment Group,filler_good,,8005,,,0.91,Vivian attempted to write short stories.,8005,18,,
5302,Experiment Group,null,,10,,,0.78,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,19,,
5302,Experiment Group,that,,7,,,0.58,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,20,,
5302,Experiment Group,filler_bad,,9010,,,0.2,"Want to eat, James did the pie.",9010,21,,
5302,Experiment Group,that,,8,,,0.37,Charles notices the experts who you think that updated the software last month.,1081,22,,
5302,Experiment Group,filler_good,,8002,,,1,Barry likes drinking milkshakes. ,8002,23,,
5302,Experiment Group,null,,5,,,0.63,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,24,,
5260,Experiment Group,,,,practice_good,practice_good,0.97,,,0,0,
5260,Experiment Group,,,,practice_bad,practice_bad,0.01,,,0,0,
5260,Experiment Group,filler_bad,,9002,,,0.02,The money was stolen the money.,9002,1,,
5260,Experiment Group,null,,6,,,0.27,Emily meets the colleagues who you suppose finalized the plan right away.,1062,2,,
5260,Experiment Group,filler_good,,8002,,,0.97,Barry likes drinking milkshakes. ,8002,3,,
5260,Experiment Group,that,,10,,,0.08,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,4,,
5260,Experiment Group,null,,12,,,0.49,Derek supports the directors who you suppose approved the proposal that evening.,1122,5,,
5260,Experiment Group,filler_bad,,9011,,,0.02,"Refuse to write, Maria did the article.",9011,6,,
5260,Experiment Group,filler_good,,8011,,,0.92,It seems to Nathan that Keith finished the work efficiently.,8011,7,,
5260,Experiment Group,that,,7,,,0.07,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,8,,
5260,Experiment Group,filler_good,,8003,,,0.99,Lisa likes taking vacations.,8003,9,,
5260,Experiment Group,filler_bad,,9005,,,0,Who was that the principal would fire expected by the reporters?,9005,10,,
5260,Experiment Group,that,,4,,,0.05,Kate calls the workers who you say that filed the complaint this week.,1041,11,,
5260,Experiment Group,null,,11,,,0.94,Paul visits the technicians who we claim processed the application earlier today.,1112,12,,
5260,Experiment Group,null,,5,,,0.94,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,13,,
5260,Experiment Group,filler_good,,8008,,,0.99,Joey attempted to escape through a window. ,8008,14,,
5260,Experiment Group,filler_bad,,9001,,,0.01,John was kissed John.,9001,15,,
5260,Experiment Group,that,,3,,,0.08,Sophia identifies the researchers who we assume that published the article last year.,1031,16,,
5260,Experiment Group,filler_good,,8001,,,0.98,Joshua hates eating sushi. ,8001,17,,
5260,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,18,,
5260,Experiment Group,null,,1,,,0.31,Julia knows the students who you believe submitted the assignment on time.,1012,19,,
5260,Experiment Group,that,,9,,,0.47,Ben respects the professors who we assume that established the system long ago.,1091,20,,
5260,Experiment Group,null,,2,,,0.68,Mary recognizes the employees who we think completed the report very early.,1022,21,,
5260,Experiment Group,filler_bad,,9008,,,0.04,Who is that the jail must release accepted by few citizens?,9008,22,,
5260,Experiment Group,filler_good,,8004,,,0.97,Ali hates missing work. ,8004,23,,
5260,Experiment Group,that,,8,,,0.39,Charles notices the experts who you think that updated the software last month.,1081,24,,
5264,Experiment Group,,,,practice_good,practice_good,0.78,,,0,0,
5264,Experiment Group,,,,practice_bad,practice_bad,0.05,,,0,0,
5264,Experiment Group,null,,8,,,0.63,Charles notices the experts who you think updated the software last month.,1082,1,,
5264,Experiment Group,that,,2,,,0.3,Mary recognizes the employees who we think that completed the report very early.,1021,2,,
5264,Experiment Group,filler_bad,,9008,,,0.11,Who is that the jail must release accepted by few citizens?,9008,3,,
5264,Experiment Group,filler_good,,8009,,,0.77,It seems to Carla that Robert studied for the test effectively.,8009,4,,
5264,Experiment Group,that,,5,,,0.12,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,5,,
5264,Experiment Group,filler_good,,8004,,,0.95,Ali hates missing work. ,8004,6,,
5264,Experiment Group,null,,6,,,0.22,Emily meets the colleagues who you suppose finalized the plan right away.,1062,7,,
5264,Experiment Group,filler_bad,,9012,,,0.01,"Tried to bury, Kimberly did the treasure chest.",9012,8,,
5264,Experiment Group,filler_good,,8012,,,0.89,It seems to Mike that Martha helped the student generously. ,8012,9,,
5264,Experiment Group,null,,11,,,0.21,Paul visits the technicians who we claim processed the application earlier today.,1112,10,,
5264,Experiment Group,that,,9,,,0.05,Ben respects the professors who we assume that established the system long ago.,1091,11,,
5264,Experiment Group,filler_bad,,9005,,,0.03,Who was that the principal would fire expected by the reporters?,9005,12,,
5264,Experiment Group,that,,10,,,0.23,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,13,,
5264,Experiment Group,filler_bad,,9003,,,0.03,The hedges were trimmed the hedges.,9003,14,,
5264,Experiment Group,filler_good,,8011,,,0.99,It seems to Nathan that Keith finished the work efficiently.,8011,15,,
5264,Experiment Group,null,,4,,,0.73,Kate calls the workers who you say filed the complaint this week.,1042,16,,
5264,Experiment Group,null,,3,,,0.73,Sophia identifies the researchers who we assume published the article last year.,1032,17,,
5264,Experiment Group,filler_good,,8008,,,0.94,Joey attempted to escape through a window. ,8008,18,,
5264,Experiment Group,filler_bad,,9002,,,0,The money was stolen the money.,9002,19,,
5264,Experiment Group,that,,7,,,0.2,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,20,,
5264,Experiment Group,that,,12,,,0.05,Derek supports the directors who you suppose that approved the proposal that evening.,1121,21,,
5264,Experiment Group,filler_bad,,9010,,,0.04,"Want to eat, James did the pie.",9010,22,,
5264,Experiment Group,null,,1,,,0.78,Julia knows the students who you believe submitted the assignment on time.,1012,23,,
5264,Experiment Group,filler_good,,8003,,,0.97,Lisa likes taking vacations.,8003,24,,
5295,Experiment Group,,,,practice_good,practice_good,1,,,0,0,
5295,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5295,Experiment Group,filler_good,,8001,,,1,Joshua hates eating sushi. ,8001,1,,
5295,Experiment Group,filler_bad,,9003,,,0,The hedges were trimmed the hedges.,9003,2,,
5295,Experiment Group,that,,9,,,0.41,Ben respects the professors who we assume that established the system long ago.,1091,3,,
5295,Experiment Group,null,,2,,,0.42,Mary recognizes the employees who we think completed the report very early.,1022,4,,
5295,Experiment Group,filler_good,,8009,,,0.8,It seems to Carla that Robert studied for the test effectively.,8009,5,,
5295,Experiment Group,null,,6,,,0.21,Emily meets the colleagues who you suppose finalized the plan right away.,1062,6,,
5295,Experiment Group,filler_bad,,9010,,,0,"Want to eat, James did the pie.",9010,7,,
5295,Experiment Group,that,,8,,,0.18,Charles notices the experts who you think that updated the software last month.,1081,8,,
5295,Experiment Group,that,,10,,,0.55,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,9,,
5295,Experiment Group,filler_bad,,9007,,,0,Who was that Martian kidnapped believed by no one?,9007,10,,
5295,Experiment Group,null,,3,,,0.97,Sophia identifies the researchers who we assume published the article last year.,1032,11,,
5295,Experiment Group,filler_good,,8003,,,1,Lisa likes taking vacations.,8003,12,,
5295,Experiment Group,null,,12,,,0.51,Derek supports the directors who you suppose approved the proposal that evening.,1122,13,,
5295,Experiment Group,that,,5,,,0.61,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,14,,
5295,Experiment Group,filler_bad,,9012,,,0.21,"Tried to bury, Kimberly did the treasure chest.",9012,15,,
5295,Experiment Group,filler_good,,8007,,,1,Valerie attempted to cancel her magazine subscription.,8007,16,,
5295,Experiment Group,that,,11,,,0.81,Paul visits the technicians who we claim that processed the application earlier today.,1111,17,,
5295,Experiment Group,null,,1,,,0.37,Julia knows the students who you believe submitted the assignment on time.,1012,18,,
5295,Experiment Group,filler_bad,,9006,,,0,What was that the movers would break feared by the family?,9006,19,,
5295,Experiment Group,filler_good,,8010,,,1,It seems to Dave that Gregory left deliberately. ,8010,20,,
5295,Experiment Group,filler_good,,8011,,,1,It seems to Nathan that Keith finished the work efficiently.,8011,21,,
5295,Experiment Group,that,,7,,,0.81,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,22,,
5295,Experiment Group,null,,4,,,0.84,Kate calls the workers who you say filed the complaint this week.,1042,23,,
5295,Experiment Group,filler_bad,,9004,,,0,The student was punished the student.,9004,24,,
5275,Experiment Group,,,,practice_good,practice_good,0.68,,,0,0,
5275,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5275,Experiment Group,filler_good,,8005,,,1,Vivian attempted to write short stories.,8005,1,,
5275,Experiment Group,that,,12,,,0.1,Derek supports the directors who you suppose that approved the proposal that evening.,1121,2,,
5275,Experiment Group,null,,11,,,0.28,Paul visits the technicians who we claim processed the application earlier today.,1112,3,,
5275,Experiment Group,filler_bad,,9001,,,0.01,John was kissed John.,9001,4,,
5275,Experiment Group,null,,5,,,0.26,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,5,,
5275,Experiment Group,filler_bad,,9010,,,0.02,"Want to eat, James did the pie.",9010,6,,
5275,Experiment Group,that,,3,,,0.23,Sophia identifies the researchers who we assume that published the article last year.,1031,7,,
5275,Experiment Group,filler_good,,8007,,,0.99,Valerie attempted to cancel her magazine subscription.,8007,8,,
5275,Experiment Group,null,,7,,,0.68,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,9,,
5275,Experiment Group,filler_good,,8006,,,0.99,Tommy attempted to take a picture.,8006,10,,
5275,Experiment Group,that,,4,,,0.01,Kate calls the workers who you say that filed the complaint this week.,1041,11,,
5275,Experiment Group,filler_bad,,9002,,,0.01,The money was stolen the money.,9002,12,,
5275,Experiment Group,that,,6,,,0.09,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,13,,
5275,Experiment Group,filler_good,,8002,,,0.98,Barry likes drinking milkshakes. ,8002,14,,
5275,Experiment Group,null,,8,,,0.1,Charles notices the experts who you think updated the software last month.,1082,15,,
5275,Experiment Group,filler_bad,,9003,,,0.01,The hedges were trimmed the hedges.,9003,16,,
5275,Experiment Group,filler_bad,,9011,,,0.02,"Refuse to write, Maria did the article.",9011,17,,
5275,Experiment Group,null,,10,,,0.81,Daniel remembers the agents who you say archived the document pretty efficiently.,1102,18,,
5275,Experiment Group,filler_good,,8009,,,0.81,It seems to Carla that Robert studied for the test effectively.,8009,19,,
5275,Experiment Group,that,,2,,,0.02,Mary recognizes the employees who we think that completed the report very early.,1021,20,,
5275,Experiment Group,null,,9,,,0.7,Ben respects the professors who we assume established the system long ago.,1092,21,,
5275,Experiment Group,filler_bad,,9006,,,0.01,What was that the movers would break feared by the family?,9006,22,,
5275,Experiment Group,filler_good,,8011,,,0.89,It seems to Nathan that Keith finished the work efficiently.,8011,23,,
5275,Experiment Group,that,,1,,,0.04,Julia knows the students who you believe that submitted the assignment on time.,1011,24,,
5276,Experiment Group,,,,practice_good,practice_good,0.96,,,0,0,
5276,Experiment Group,,0.72,,practice_bad,practice_bad,0.41,,,0,3,
5276,Experiment Group,filler_bad,,9009,,,0,"Promise to wash, Neal did the car.",9009,1,,
5276,Experiment Group,filler_good,,8011,,,0.97,It seems to Nathan that Keith finished the work efficiently.,8011,2,,
5276,Experiment Group,that,,12,,,0.88,Derek supports the directors who you suppose that approved the proposal that evening.,1121,3,,
5276,Experiment Group,null,,2,,,0.04,Mary recognizes the employees who we think completed the report very early.,1022,4,,
5276,Experiment Group,null,,4,,,0.43,Kate calls the workers who you say filed the complaint this week.,1042,5,,
5276,Experiment Group,filler_good,,8002,,,0.98,Barry likes drinking milkshakes. ,8002,6,,
5276,Experiment Group,filler_bad,,9006,,,0.03,What was that the movers would break feared by the family?,9006,7,,
5276,Experiment Group,that,,7,,,0.29,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,8,,
5276,Experiment Group,filler_good,,8006,,,1,Tommy attempted to take a picture.,8006,9,,
5276,Experiment Group,null,,9,,,0.94,Ben respects the professors who we assume established the system long ago.,1092,10,,
5276,Experiment Group,that,,10,,,0.36,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,11,,
5276,Experiment Group,filler_bad,,9007,,,0.01,Who was that Martian kidnapped believed by no one?,9007,12,,
5276,Experiment Group,null,,6,,,0.29,Emily meets the colleagues who you suppose finalized the plan right away.,1062,13,,
5276,Experiment Group,filler_bad,,9011,,,0,"Refuse to write, Maria did the article.",9011,14,,
5276,Experiment Group,that,,5,,,0.13,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,15,,
5276,Experiment Group,filler_good,,8008,,,0.99,Joey attempted to escape through a window. ,8008,16,,
5276,Experiment Group,filler_good,,8012,,,1,It seems to Mike that Martha helped the student generously. ,8012,17,,
5276,Experiment Group,that,,8,,,0.29,Charles notices the experts who you think that updated the software last month.,1081,18,,
5276,Experiment Group,null,,1,,,0.97,Julia knows the students who you believe submitted the assignment on time.,1012,19,,
5276,Experiment Group,filler_bad,,9001,,,0.03,John was kissed John.,9001,20,,
5276,Experiment Group,null,,3,,,0.99,Sophia identifies the researchers who we assume published the article last year.,1032,21,,
5276,Experiment Group,filler_good,,8007,,,1,Valerie attempted to cancel her magazine subscription.,8007,22,,
5276,Experiment Group,filler_bad,,9005,,,0,Who was that the principal would fire expected by the reporters?,9005,23,,
5276,Experiment Group,that,,11,,,0.23,Paul visits the technicians who we claim that processed the application earlier today.,1111,24,,
5253,Experiment Group,,,,practice_good,practice_good,0.88,,,0,0,
5253,Experiment Group,,,,practice_bad,practice_bad,0,,,0,0,
5253,Experiment Group,that,,6,,,0.2,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,1,,
5253,Experiment Group,filler_bad,,9004,,,0.18,The student was punished the student.,9004,2,,
5253,Experiment Group,null,,9,,,0.96,Ben respects the professors who we assume established the system long ago.,1092,3,,
5253,Experiment Group,filler_good,,8009,,,0.92,It seems to Carla that Robert studied for the test effectively.,8009,4,,
5253,Experiment Group,filler_good,,8006,,,0.97,Tommy attempted to take a picture.,8006,5,,
5253,Experiment Group,null,,2,,,0.57,Mary recognizes the employees who we think completed the report very early.,1022,6,,
5253,Experiment Group,filler_bad,,9001,,,0.02,John was kissed John.,9001,7,,
5253,Experiment Group,that,,11,,,0.27,Paul visits the technicians who we claim that processed the application earlier today.,1111,8,,
5253,Experiment Group,filler_bad,,9005,,,0.26,Who was that the principal would fire expected by the reporters?,9005,9,,
5253,Experiment Group,filler_good,,8004,,,0.99,Ali hates missing work. ,8004,10,,
5253,Experiment Group,that,,3,,,0.38,Sophia identifies the researchers who we assume that published the article last year.,1031,11,,
5253,Experiment Group,null,,5,,,0.76,Janice likes the teachers who we claim reviewed the manuscript quite early.,1052,12,,
5253,Experiment Group,filler_good,,8002,,,0.99,Barry likes drinking milkshakes. ,8002,13,,
5253,Experiment Group,null,,1,,,0.9,Julia knows the students who you believe submitted the assignment on time.,1012,14,,
5253,Experiment Group,filler_bad,,9011,,,0.08,"Refuse to write, Maria did the article.",9011,15,,
5253,Experiment Group,that,,10,,,0.83,Daniel remembers the agents who you say that archived the document pretty efficiently.,1101,16,,
5253,Experiment Group,null,,8,,,0.93,Charles notices the experts who you think updated the software last month.,1082,17,,
5253,Experiment Group,that,,12,,,0.13,Derek supports the directors who you suppose that approved the proposal that evening.,1121,18,,
5253,Experiment Group,filler_good,,8010,,,0.97,It seems to Dave that Gregory left deliberately. ,8010,19,,
5253,Experiment Group,filler_bad,,9009,,,0,"Promise to wash, Neal did the car.",9009,20,,
5253,Experiment Group,filler_good,,8008,,,0.98,Joey attempted to escape through a window. ,8008,21,,
5253,Experiment Group,filler_bad,,9003,,,0.05,The hedges were trimmed the hedges.,9003,22,,
5253,Experiment Group,that,,4,,,0.89,Kate calls the workers who you say that filed the complaint this week.,1041,23,,
