workerid,proliferate.condition,first_response_value,item,item_number,item_type,response,sentence,sentence_id,trial_sequence_total,wrong_attempts,error
5409,Experiment Group,,8008,,,0.74,It seems to Dave that Gregory left deliberately. ,8008,7,,
5409,Experiment Group,,8005,,,0.94,Vivian attempted to write short stories.,8005,8,,
5409,Experiment Group,,9002,,,0,The money was stolen the money.,9002,9,,
5409,Experiment Group,,10,,,0.17,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,10,,
5409,Experiment Group,,8006,,,0.97,Tommy attempted to take a picture.,8006,11,,
5409,Experiment Group,,12,,,0.09,Derek supports the directors who you supposed that approved the proposal that evening.,1121,12,,
5409,Experiment Group,,9004,,,0.29,The visitors the paintings admires  in the museum yesterday.,9004,13,,
5409,Experiment Group,,7,,,0.31,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,14,,
5409,Experiment Group,,8003,,,0.89,The manager reviewed the report before the meeting started.,8003,15,,
5409,Experiment Group,,15,,,0.25,Natalie invites the guests who we suppose that delivered the packages this afternoon.,1151,16,,
5409,Experiment Group,,9003,,,0.17,Matthew the problem solved after thinking about it careful.,9003,17,,
5409,Experiment Group,,9005,,,0.17,Who was that the principal would fire expected by the reporters?,9005,18,,
5409,Experiment Group,,9006,,,0.24,What was that the movers would break feared by the family?,9006,19,,
5409,Experiment Group,,16,,,0.34,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,20,,
5409,Experiment Group,,8007,,,0.91,It seems to Carla that Robert studied for the test effectively.,8007,21,,
5409,Experiment Group,,9,,,0.33,Ben respects the professors who we assume that established the system long ago.,1091,22,,
5409,Experiment Group,,8001,,,0.91,Joshua hates eating sushi. ,8001,23,,
5409,Experiment Group,,3,,,0.43,Sophia identifies the researchers who we assume that published the article last year.,1031,24,,
5409,Experiment Group,,9007,,,0.23,"Promise to wash, Neal did the car.",9007,25,,
5409,Experiment Group,,8004,,,0.91,Anna borrowed a book from the library yesterday afternoon.,8004,26,,
5409,Experiment Group,,8,,,0.29,Charles notices the experts who you think that updated the software last month.,1081,27,,
5409,Experiment Group,,9008,,,0.39,"Want to eat, James did the pie.",9008,28,,
5409,Experiment Group,,1,,,0.26,Julia knows the students who you believe that submitted the assignment on time.,1011,29,,
5409,Experiment Group,,4,,,0.89,Kate documented the complaint which you said the workers filed this week.,1044,30,,
5409,Experiment Group,,14,,,0.29,Kevin reviewed the presentation which you think that the assistants prepared yesterday.,1143,31,,
5409,Experiment Group,,2,,,0.83,Mary recognizes the employees who we think completed the report very early.,1022,32,,
5473,Experiment Group,,,practice_good,practice_good,0.99,,,0,0,
5473,Experiment Group,,,practice_bad,practice_bad,0,,,0,0,
5473,Experiment Group,,6,,,0.03,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,1,,
5473,Experiment Group,,13,,,0.8,Laura attended the festival which we believe that the neighbors organized last weekend.,1133,2,,
5473,Experiment Group,,8,,,0.55,Charles notices the experts who you think updated the software last month.,1082,3,,
5473,Experiment Group,,14,,,0.68,Kevin reviewed the presentation which you think the assistants prepared yesterday.,1144,4,,
5473,Experiment Group,,15,,,0.26,Natalie invites the guests who we suppose that delivered the packages this afternoon.,1151,5,,
5473,Experiment Group,,8007,,,0.88,It seems to Carla that Robert studied for the test effectively.,8007,6,,
5473,Experiment Group,,8006,,,1,Tommy attempted to take a picture.,8006,7,,
5473,Experiment Group,,12,,,0.71,Derek supports the directors who you supposed that approved the proposal that evening.,1121,8,,
5473,Experiment Group,,9006,,,0,What was that the movers would break feared by the family?,9006,9,,
5473,Experiment Group,,9008,,,0,"Want to eat, James did the pie.",9008,10,,
5473,Experiment Group,,16,,,0.73,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,11,,
5473,Experiment Group,,9004,,,0.01,The visitors the paintings admires  in the museum yesterday.,9004,12,,
5473,Experiment Group,,9003,,,0.06,Matthew the problem solved after thinking about it careful.,9003,13,,
5473,Experiment Group,,8003,,,1,The manager reviewed the report before the meeting started.,8003,14,,
5473,Experiment Group,,8004,,,1,Anna borrowed a book from the library yesterday afternoon.,8004,15,,
5473,Experiment Group,,2,,,0.8,Mary recognizes the employees who we think that completed the report very early.,1021,16,,
5473,Experiment Group,,8005,,,1,Vivian attempted to write short stories.,8005,17,,
5473,Experiment Group,,8002,,,1,Barry likes drinking milkshakes. ,8002,18,,
5473,Experiment Group,,11,,,0.61,Paul visits the technicians who we claim that processed the application earlier today.,1111,19,,
5473,Experiment Group,,8001,,,0.98,Joshua hates eating sushi. ,8001,20,,
5473,Experiment Group,,9,,,0.59,Ben respects the professors who we assume that established the system long ago.,1091,21,,
5473,Experiment Group,,9005,,,0,Who was that the principal would fire expected by the reporters?,9005,22,,
5473,Experiment Group,,9002,,,0,The money was stolen the money.,9002,23,,
5473,Experiment Group,,9007,,,0,"Promise to wash, Neal did the car.",9007,24,,
5473,Experiment Group,,4,,,0.74,Kate called the workers who you said that filed the complaint this week.,1041,25,,
5473,Experiment Group,,9001,,,0,John was kissed John.,9001,26,,
5473,Experiment Group,,8008,,,1,It seems to Dave that Gregory left deliberately. ,8008,27,,
5473,Experiment Group,,3,,,0.72,Sophia identifies the researchers who we assume that published the article last year.,1031,28,,
5473,Experiment Group,,10,,,0.47,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,29,,
5473,Experiment Group,,5,,,0.7,Janice edited the manuscript which we claim the teachers reviewed quite early.,1054,30,,
5473,Experiment Group,,7,,,0.85,Jake cancelled the meeting which we believe that the secretaries scheduled this morning.,1073,31,,
5473,Experiment Group,,1,,,0.74,Julia knows the students who you believe submitted the assignment on time.,1012,32,,
5385,Experiment Group,,,practice_good,practice_good,0.97,,,0,0,
5385,Experiment Group,,,practice_bad,practice_bad,0.02,,,0,0,
5385,Experiment Group,,11,,,0.34,Paul visits the technicians who we claim processed the application earlier today.,1112,1,,
5385,Experiment Group,,13,,,0.7,Laura greets the neighbors who we believe that organized the festival last weekend.,1131,2,,
5385,Experiment Group,,12,,,0.1,Derek drafted the proposal which you supposed that the directors approved that evening.,1123,3,,
5385,Experiment Group,,5,,,0.28,Janice edited the manuscript which we claim the teachers reviewed quite early.,1054,4,,
5385,Experiment Group,,6,,,0.09,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,5,,
5385,Experiment Group,,9002,,,0.06,The money was stolen the money.,9002,6,,
5385,Experiment Group,,8,,,0.25,Charles notices the experts who you think that updated the software last month.,1081,7,,
5385,Experiment Group,,9007,,,0.03,"Promise to wash, Neal did the car.",9007,8,,
5385,Experiment Group,,8007,,,0.8,It seems to Carla that Robert studied for the test effectively.,8007,9,,
5385,Experiment Group,,9001,,,0.06,John was kissed John.,9001,10,,
5385,Experiment Group,,8001,,,0.96,Joshua hates eating sushi. ,8001,11,,
5385,Experiment Group,,1,,,0.42,Julia knows the students who you believe that submitted the assignment on time.,1011,12,,
5385,Experiment Group,,9004,,,0.07,The visitors the paintings admires  in the museum yesterday.,9004,13,,
5385,Experiment Group,,8003,,,0.98,The manager reviewed the report before the meeting started.,8003,14,,
5385,Experiment Group,,3,,,0.37,Sophia identifies the researchers who we assume that published the article last year.,1031,15,,
5385,Experiment Group,,9005,,,0.23,Who was that the principal would fire expected by the reporters?,9005,16,,
5385,Experiment Group,,14,,,0.21,Kevin thanked the assistants who you think that prepared the presentation yesterday.,1141,17,,
5385,Experiment Group,,8008,,,0.84,It seems to Dave that Gregory left deliberately. ,8008,18,,
5385,Experiment Group,,9003,,,0.05,Matthew the problem solved after thinking about it careful.,9003,19,,
5385,Experiment Group,,9008,,,0.07,"Want to eat, James did the pie.",9008,20,,
5385,Experiment Group,,10,,,0.22,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,21,,
5385,Experiment Group,,9006,,,0.03,What was that the movers would break feared by the family?,9006,22,,
5385,Experiment Group,,15,,,0.04,Natalie invites the guests who we suppose that delivered the packages this afternoon.,1151,23,,
5385,Experiment Group,,8004,,,0.99,Anna borrowed a book from the library yesterday afternoon.,8004,24,,
5385,Experiment Group,,16,,,0.11,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,25,,
5385,Experiment Group,,8005,,,0.98,Vivian attempted to write short stories.,8005,26,,
5385,Experiment Group,,8006,,,0.96,Tommy attempted to take a picture.,8006,27,,
5385,Experiment Group,,8002,,,0.99,Barry likes drinking milkshakes. ,8002,28,,
5385,Experiment Group,,9,,,0.11,Ben respects the professors who we assume that established the system long ago.,1091,29,,
5385,Experiment Group,,2,,,0.15,Mary recognizes the employees who we think completed the report very early.,1022,30,,
5385,Experiment Group,,4,,,0.86,Kate documented the complaint which you said the workers filed this week.,1044,31,,
5385,Experiment Group,,7,,,0.3,Jake cancelled the meeting which we believe that the secretaries scheduled this morning.,1073,32,,
5435,Experiment Group,,,practice_good,practice_good,0.98,,,0,0,
5435,Experiment Group,,,practice_bad,practice_bad,0.24,,,0,0,
5435,Experiment Group,,9,,,0.29,Ben trusts the system which we assume that the professors established long ago.,1093,1,,
5435,Experiment Group,,15,,,0,Natalie invites the guests who we suppose delivered the packages this afternoon.,1152,2,,
5435,Experiment Group,,2,,,0,Mary recognizes the employees who we think that completed the report very early.,1021,3,,
5435,Experiment Group,,11,,,0.18,Paul filed the application which we claim the technicians processed earlier today.,1114,4,,
5435,Experiment Group,,9006,,,0.65,What was that the movers would break feared by the family?,9006,5,,
5435,Experiment Group,,8007,,,0.77,It seems to Carla that Robert studied for the test effectively.,8007,6,,
5435,Experiment Group,,7,,,0.77,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,7,,
5435,Experiment Group,,8001,,,0.99,Joshua hates eating sushi. ,8001,8,,
5435,Experiment Group,,8006,,,0.99,Tommy attempted to take a picture.,8006,9,,
5435,Experiment Group,,1,,,0.3,Julia knows the students who you believe that submitted the assignment on time.,1011,10,,
5435,Experiment Group,,8008,,,0.99,It seems to Dave that Gregory left deliberately. ,8008,11,,
5435,Experiment Group,,9003,,,0,Matthew the problem solved after thinking about it careful.,9003,12,,
5435,Experiment Group,,8004,,,1,Anna borrowed a book from the library yesterday afternoon.,8004,13,,
5435,Experiment Group,,16,,,0.5,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,14,,
5435,Experiment Group,,9004,,,0,The visitors the paintings admires  in the museum yesterday.,9004,15,,
5435,Experiment Group,,8005,,,1,Vivian attempted to write short stories.,8005,16,,
5435,Experiment Group,,6,,,0.54,Emily meets the colleagues who you suppose that finalized the plan right away.,1061,17,,
5435,Experiment Group,,9001,,,0.2,John was kissed John.,9001,18,,
5435,Experiment Group,,8,,,0.23,Charles notices the experts who you think that updated the software last month.,1081,19,,
5435,Experiment Group,,9002,,,1,The money was stolen the money.,9002,20,,
5435,Experiment Group,,3,,,0.75,Sophia identifies the researchers who we assume that published the article last year.,1031,21,,
5435,Experiment Group,,9005,,,0.48,Who was that the principal would fire expected by the reporters?,9005,22,,
5435,Experiment Group,,9008,,,0,"Want to eat, James did the pie.",9008,23,,
5435,Experiment Group,,8002,,,1,Barry likes drinking milkshakes. ,8002,24,,
5435,Experiment Group,,4,,,0.5,Kate called the workers who you said that filed the complaint this week.,1041,25,,
5435,Experiment Group,,9007,,,0,"Promise to wash, Neal did the car.",9007,26,,
5435,Experiment Group,,12,,,0.38,Derek supports the directors who you supposed that approved the proposal that evening.,1121,27,,
5435,Experiment Group,,8003,,,0.99,The manager reviewed the report before the meeting started.,8003,28,,
5435,Experiment Group,,13,,,0.53,Laura attended the festival which we believe that the neighbors organized last weekend.,1133,29,,
5435,Experiment Group,,10,,,0.52,Daniel remembers the agents who you said archived the document pretty efficiently.,1102,30,,
5435,Experiment Group,,14,,,0.47,Kevin reviewed the presentation which you think the assistants prepared yesterday.,1144,31,,
5435,Experiment Group,,5,,,0.17,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,32,,
5469,Experiment Group,,,practice_good,practice_good,1,,,0,0,
5469,Experiment Group,,,practice_bad,practice_bad,0,,,0,0,
5469,Experiment Group,,6,,,1,Emily approved the plan which you suppose the colleagues finalized right away.,1064,1,,
5469,Experiment Group,,15,,,0.78,Natalie received the packages which we suppose that the guests delivered this afternoon.,1153,2,,
5469,Experiment Group,,13,,,1,Laura greets the neighbors who we believe organized the festival last weekend.,1132,3,,
5469,Experiment Group,,12,,,0,Derek supports the directors who you supposed that approved the proposal that evening.,1121,4,,
5469,Experiment Group,,8005,,,1,Vivian attempted to write short stories.,8005,5,,
5469,Experiment Group,,8,,,0.07,Charles notices the experts who you think that updated the software last month.,1081,6,,
5469,Experiment Group,,9005,,,0.07,Who was that the principal would fire expected by the reporters?,9005,7,,
5469,Experiment Group,,16,,,0,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,8,,
5469,Experiment Group,,8002,,,1,Barry likes drinking milkshakes. ,8002,9,,
5469,Experiment Group,,9001,,,0,John was kissed John.,9001,10,,
5469,Experiment Group,,8006,,,1,Tommy attempted to take a picture.,8006,11,,
5469,Experiment Group,,2,,,0,Mary recognizes the employees who we think that completed the report very early.,1021,12,,
5469,Experiment Group,,9008,,,0.04,"Want to eat, James did the pie.",9008,13,,
5469,Experiment Group,,9007,,,0.03,"Promise to wash, Neal did the car.",9007,14,,
5469,Experiment Group,,9002,,,0.08,The money was stolen the money.,9002,15,,
5469,Experiment Group,,8004,,,1,Anna borrowed a book from the library yesterday afternoon.,8004,16,,
5469,Experiment Group,,14,,,0,Kevin thanked the assistants who you think that prepared the presentation yesterday.,1141,17,,
5469,Experiment Group,,9004,,,0,The visitors the paintings admires  in the museum yesterday.,9004,18,,
5469,Experiment Group,,1,,,0.09,Julia knows the students who you believe that submitted the assignment on time.,1011,19,,
5469,Experiment Group,,8001,,,1,Joshua hates eating sushi. ,8001,20,,
5469,Experiment Group,,4,,,0,Kate called the workers who you said that filed the complaint this week.,1041,21,,
5469,Experiment Group,,8007,,,1,It seems to Carla that Robert studied for the test effectively.,8007,22,,
5469,Experiment Group,,8008,,,1,It seems to Dave that Gregory left deliberately. ,8008,23,,
5469,Experiment Group,,5,,,0,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,24,,
5469,Experiment Group,,9006,,,0,What was that the movers would break feared by the family?,9006,25,,
5469,Experiment Group,,3,,,0,Sophia identifies the researchers who we assume that published the article last year.,1031,26,,
5469,Experiment Group,,9003,,,0,Matthew the problem solved after thinking about it careful.,9003,27,,
5469,Experiment Group,,8003,,,1,The manager reviewed the report before the meeting started.,8003,28,,
5469,Experiment Group,,11,,,0,Paul visits the technicians who we claim that processed the application earlier today.,1111,29,,
5469,Experiment Group,,10,,,1,Daniel found the document which you said the agents archived pretty efficiently.,1104,30,,
5469,Experiment Group,,9,,,0,Ben trusts the system which we assume that the professors established long ago.,1093,31,,
5469,Experiment Group,,7,,,1,Jake encounters the secretaries who we believe scheduled the meeting this morning.,1072,32,,
5451,Experiment Group,,,practice_good,practice_good,1,,,0,0,
5451,Experiment Group,,,practice_bad,practice_bad,0.07,,,0,0,
5451,Experiment Group,,7,,,0.32,Jake encounters the secretaries who we believe that scheduled the meeting this morning.,1071,1,,
5451,Experiment Group,,6,,,0.53,Emily meets the colleagues who you suppose finalized the plan right away.,1062,2,,
5451,Experiment Group,,4,,,0.78,Kate documented the complaint which you said the workers filed this week.,1044,3,,
5451,Experiment Group,,3,,,0.8,Sophia downloaded the article which we assume that the researchers published last year.,1033,4,,
5451,Experiment Group,,8004,,,1,Anna borrowed a book from the library yesterday afternoon.,8004,5,,
5451,Experiment Group,,9004,,,0.15,The visitors the paintings admires  in the museum yesterday.,9004,6,,
5451,Experiment Group,,8001,,,0.99,Joshua hates eating sushi. ,8001,7,,
5451,Experiment Group,,2,,,0.03,Mary recognizes the employees who we think that completed the report very early.,1021,8,,
5451,Experiment Group,,9006,,,0.01,What was that the movers would break feared by the family?,9006,9,,
5451,Experiment Group,,9001,,,0,John was kissed John.,9001,10,,
5451,Experiment Group,,8005,,,0.91,Vivian attempted to write short stories.,8005,11,,
5451,Experiment Group,,9007,,,0.08,"Promise to wash, Neal did the car.",9007,12,,
5451,Experiment Group,,8003,,,0.93,The manager reviewed the report before the meeting started.,8003,13,,
5451,Experiment Group,,8006,,,0.99,Tommy attempted to take a picture.,8006,14,,
5451,Experiment Group,,10,,,0.13,Daniel remembers the agents who you said that archived the document pretty efficiently.,1101,15,,
5451,Experiment Group,,9002,,,0.17,The money was stolen the money.,9002,16,,
5451,Experiment Group,,16,,,0.12,Oliver interviewed the candidates who you assume that designed the prototype last spring.,1161,17,,
5451,Experiment Group,,9008,,,0.04,"Want to eat, James did the pie.",9008,18,,
5451,Experiment Group,,12,,,0.1,Derek supports the directors who you supposed that approved the proposal that evening.,1121,19,,
5451,Experiment Group,,8008,,,0.98,It seems to Dave that Gregory left deliberately. ,8008,20,,
5451,Experiment Group,,9,,,0.23,Ben respects the professors who we assume that established the system long ago.,1091,21,,
5451,Experiment Group,,8007,,,0.82,It seems to Carla that Robert studied for the test effectively.,8007,22,,
5451,Experiment Group,,8,,,0.19,Charles notices the experts who you think that updated the software last month.,1081,23,,
5451,Experiment Group,,8002,,,0.88,Barry likes drinking milkshakes. ,8002,24,,
5451,Experiment Group,,5,,,0.17,Janice likes the teachers who we claim that reviewed the manuscript quite early.,1051,25,,
5451,Experiment Group,,9005,,,0.08,Who was that the principal would fire expected by the reporters?,9005,26,,
5451,Experiment Group,,9003,,,0.1,Matthew the problem solved after thinking about it careful.,9003,27,,
5451,Experiment Group,,13,,,0.2,Laura greets the neighbors who we believe that organized the festival last weekend.,1131,28,,
5451,Experiment Group,,11,,,0.35,Paul filed the application which we claim that the technicians processed earlier today.,1113,29,,
5451,Experiment Group,,1,,,0.64,Julia graded the assignment which you believe the students submitted on time.,1014,30,,
